"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Combining Spectrum-Based Fault Localization and Statistical Debugging: An Empirical Study","J. Jiang; R. Wang; Y. Xiong; X. Chen; L. Zhang","Peking University; Peking University; Peking University; Sun Yat-sen University; Peking University","2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2019","","","502","514","Program debugging is a time-consuming task, and researchers have proposed different kinds of automatic fault localization techniques to mitigate the burden of manual debugging. Among these techniques, two popular families are spectrum-based fault localization (SBFL) and statistical debugging (SD), both localizing faults by collecting statistical information at runtime. Though the ideas are similar, the two families have been developed independently and their combinations have not been systematically explored. In this paper we perform a systematical empirical study on the combination of SBFL and SD. We first build a unified model of the two techniques, and systematically explore four types of variations, different predicates, different risk evaluation formulas, different granularities of data collection, and different methods of combining suspicious scores. Our study leads to several findings. First, most of the effectiveness of the combined approach contributed by a simple type of predicates: branch conditions. Second, the risk evaluation formulas of SBFL significantly outperform that of SD. Third, fine-grained data collection significantly outperforms coarse-grained data collection with a little extra execution overhead. Fourth, a linear combination of SBFL and SD predicates outperforms both individual approaches. According to our empirical study, we propose a new fault localization approach, PREDFL (Predicate-based Fault Localization), with the best configuration for each dimension under the unified model. Then, we explore its complementarity to existing techniques by integrating PREDFL with a state-of-the-art fault localization framework. The experimental results show that PREDFL can further improve the effectiveness of state-of-the-art fault localization techniques. More concretely, integrating PREDFL results in an up to 20.8% improvement w.r.t the faults successfully located at Top-1, which reveals that PREDFL complements existing techniques.","","","10.1109/ASE.2019.00054","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952344","Software engineering, Fault localization, Program debugging","","","","","","79","","","","","IEEE","IEEE Conferences"
"SGUARD: A Feature-Based Clustering Tool for Effective Spreadsheet Defect Detection","D. Li; H. Wang; C. Xu; R. Zhang; S. Cheung; X. Ma","Nanjing University; Nanjing University; Nanjing University; Microsoft, China; The Hong Kong University of Sci. and Tech.; Nanjing University","2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2019","","","1142","1145","Spreadsheets are widely used but subject to various defects. In this paper, we present SGUARD to effectively detect spreadsheet defects. SGUARD learns spreadsheet features to cluster cells with similar computational semantics, and then refines these clusters to recognize anomalous cells as defects. SGUARD well balances the trade-off between the precision (87.8%) and recall rate (71.9%) in the defect detection, and achieves an F-measure of 0.79, exceeding existing spreadsheet defect detection techniques. We introduce the SGUARD implementation and its usage by a video presentation (https://youtu.be/gNPmMvQVf5Q), and provide its public download repository (https://github.com/sheetguard/sguard).","","","10.1109/ASE.2019.00122","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952240","Cell clustering;Defect detection","","","","","","23","","","","","IEEE","IEEE Conferences"
"RANDR: Record and Replay for Android Applications via Targeted Runtime Instrumentation","O. Sahin; A. Aliyeva; H. Mathavan; A. Coskun; M. Egele","Boston University; Boston University; Boston University; Boston University; Boston University","2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2019","","","128","138","The ability to repeat the execution of a program is a fundamental requirement in many areas of computing from computer system evaluation to software engineering. Reproducing executions of mobile apps, in particular, has proven difficult under real-life scenarios due to multiple sources of external inputs and interactive nature of the apps. Previous works that provide record/replay functionality for mobile apps are restricted to particular input sources (e.g., touchscreen events) and present deployment challenges due to intrusive modifications to the underlying software stack. Moreover, due to their reliance on record and replay of device specific events, the recorded executions cannot be reliably reproduced across different platforms. In this paper, we present a new practical approach, RandR, for record and replay of Android applications. RandR captures and replays multiple sources of input (i.e., UI and network) without requiring source code (OS or app), administrative device privileges, or any special platform support. RandR achieves these qualities by instrumenting a select set of methods at runtime within an application's own sandbox. In addition, to enable portability of recorded executions across different platforms for replay, RandR contextualizes UI events as interactions with particular UI components (e.g., a button) as opposed to relying on platform specific features (e.g., screen coordinates). We demonstrate RandR's accurate cross-platform record and replay capabilities using over 30 real-world Android apps across a variety of platforms including emulators as well as commercial off-the-shelf mobile devices deployed in real life.","","","10.1109/ASE.2019.00022","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952379","Record;Replay;Android;Testing;Tools;Mobile Systems;Automation","","","","","","40","","","","","IEEE","IEEE Conferences"
"Performance-Boosting Sparsification of the IFDS Algorithm with Applications to Taint Analysis","D. He; H. Li; L. Wang; H. Meng; H. Zheng; J. Liu; S. Hu; L. Li; J. Xue","UNSW Sydney; SKL of Computer Architecture, ICT, CAS, China; University of Chinese Academy of Sciences; SKL of Computer Architecture, ICT, CAS, China; University of Chinese Academy of Sciences; SKL of Computer Architecture, ICT, CAS, China; University of Chinese Academy of Sciences; SKL of Computer Architecture, ICT, CAS, China; University of Chinese Academy of Sciences; SKL of Computer Architecture, ICT, CAS, China; University of Chinese Academy of Sciences; UNSW Sydney; Vivo AI Lab, China; SKL of Computer Architecture, ICT, CAS, China; University of Chinese Academy of Sciences; UNSW Sydney","2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2019","","","267","279","The IFDS algorithm can be compute-and memoryintensive for some large programs, often running for a long time (more than expected) or terminating prematurely after some time and/or memory budgets have been exhausted. In the latter case, the corresponding IFDS data-flow analyses may suffer from false negatives and/or false positives. To improve this, we introduce a sparse alternative to the traditional IFDS algorithm. Instead of propagating the data-flow facts across all the program points along the program’s (interprocedural) control flow graph, we propagate every data-flow fact directly to its next possible use points along its own sparse control flow graph constructed on the fly, thus reducing significantly both the time and memory requirements incurred by the traditional IFDS algorithm. In our evaluation, we compare FLOWDROID, a taint analysis performed by using the traditional IFDS algorithm, with our sparse incarnation, SPARSEDROID, on a set of 40 Android apps selected. For the time budget (5 hours) and memory budget (220GB) allocated per app, SPARSEDROID can run every app to completion but FLOWDROID terminates prematurely for 9 apps, resulting in an average speedup of 22.0x. This implies that when used as a market-level vetting tool, SPARSEDROID can finish analyzing these 40 apps in 2.13 hours (by issuing 228 leak warnings) while FLOWDROID manages to analyze only 30 apps in the same time period (by issuing only 147 leak warnings).","","","10.1109/ASE.2019.00034","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952383","IFDS, data-flow analysis, taint analysis","","","","","","51","","","","","IEEE","IEEE Conferences"
"Empirical Study of Programming to an Interface","B. Verhaeghe; C. Fuhrman; L. Guerrouj; N. Anquetil; S. Ducasse","Berger-Levrault, France; École de Technologie Supérieure, Montreal, Canada; École de Technologie Supérieure, Montreal, Canada; Université de Lille, France; RMoD - Inria Nord Europe, Lille, France","2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2019","","","847","850","A popular recommendation to programmers in object-oriented software is to ""program to an interface, not an implementation"" (PTI). Expected benefits include increased simplicity from abstraction, decreased dependency on implementations, and higher flexibility. Yet, interfaces must be immutable, excessive class hierarchies can be a form of complexity, and ""speculative generality"" is a known code smell. To advance the empirical knowledge of PTI, we conducted an empirical investigation that involves 126 Java projects on GitHub, aiming to measuring the decreased dependency benefits (in terms of cochange).","","","10.1109/ASE.2019.00083","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952238","Java interfaces, coupling, empirical study, software repositories, cochange, GitHub","","","","","","18","","","","","IEEE","IEEE Conferences"
"Mutation Analysis for Coq","A. Celik; K. Palmskog; M. Parovic; E. Jesús Gallego Arias; M. Gligoric","The University of Texas at Austin; The University of Texas at Austin; The University of Texas at Austin; MINES ParisTech; The University of Texas at Austin","2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2019","","","539","551","Mutation analysis, which introduces artificial defects into software systems, is the basis of mutation testing, a technique widely applied to evaluate and enhance the quality of test suites. However, despite the deep analogy between tests and formal proofs, mutation analysis has seldom been considered in the context of deductive verification. We propose mutation proving, a technique for analyzing verification projects that use proof assistants. We implemented our technique for the Coq proof assistant in a tool dubbed mCoq. mCoq applies a set of mutation operators to Coq definitions of functions and datatypes, inspired by operators previously proposed for functional programming languages. mCoq then checks proofs of lemmas affected by operator application. To make our technique feasible in practice, we implemented several optimizations in mCoq such as parallel proof checking. We applied mCoq to several medium and large scale Coq projects, and recorded whether proofs passed or failed when applying different mutation operators. We then qualitatively analyzed the mutants, finding many instances of incomplete specifications. For our evaluation, we made several improvements to serialization of Coq files and even discovered a notable bug in Coq itself, all acknowledged by developers. We believe mCoq can be useful both to proof engineers for improving the quality of their verification projects and to researchers for evaluating proof engineering techniques.","","","10.1109/ASE.2019.00057","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952421","mutation proving;Coq;prof assistants;mutation testing","","","","","","61","","","","","IEEE","IEEE Conferences"
"ACTGAN: Automatic Configuration Tuning for Software Systems with Generative Adversarial Networks","L. Bao; X. Liu; F. Wang; B. Fang","XiDian University; University of California, Davis; XiDian University; XiDian University","2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2019","","","465","476","Complex software systems often provide a large number of parameters so that users can configure them for their specific application scenarios. However, configuration tuning requires a deep understanding of the software system, far beyond the abilities of typical system users. To address this issue, many existing approaches focus on exploring and learning good performance estimation models. The accuracy of such models often suffers when the number of available samples is small, a thorny challenge under a given tuning-time constraint. By contrast, we hypothesize that good configurations often share certain hidden structures. Therefore, instead of trying to improve the performance estimation of a given configuration, we focus on capturing the hidden structures of good configurations and utilizing such learned structure to generate potentially better configurations. We propose ACTGAN to achieve this goal. We have implemented and evaluated ACTGAN using 17 workloads with eight different software systems. Experimental results show that ACTGAN outperforms default configurations by 76.22% on average, and six state-of-the-art configuration tuning algorithms by 6.58%-64.56%. Furthermore, the ACTGAN-generated configurations are often better than those used in training and show certain features consisting with domain knowledge, both of which supports our hypothesis.","","","10.1109/ASE.2019.00051","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952456","software system;automatic configuration tuning;generative adversarial networks","","","","","","57","","","","","IEEE","IEEE Conferences"
"Statistical Log Differencing","L. Bao; N. Busany; D. Lo; S. Maoz","Zhejiang University City College, China; Tel Aviv University; Singapore Management University, Singapore; Tel Aviv University","2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2019","","","851","862","Recent works have considered the problem of log differencing: given two or more system's execution logs, output a model of their differences. Log differencing has potential applications in software evolution, testing, and security. In this paper we present statistical log differencing, which accounts for frequencies of behaviors found in the logs. We present two algorithms, s2KDiff for differencing two logs, and snKDiff, for differencing of many logs at once, both presenting their results over a single inferred model. A unique aspect of our algorithms is their use of statistical hypothesis testing: we let the engineer control the sensitivity of the analysis by setting the target distance between probabilities and the statistical significance value, and report only (and all) the statistically significant differences. Our evaluation shows the effectiveness of our work in terms of soundness, completeness, and performance. It also demonstrates its effectiveness compared to previous work via a user-study and its potential applications via a case study using real-world logs.","","","10.1109/ASE.2019.00084","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952205","Log analysis;Model inference","","","","","","39","","","","","IEEE","IEEE Conferences"
"VeriSmart 2.0: Swarm-Based Bug-Finding for Multi-threaded Programs with Lazy-CSeq","B. Fischer; S. La Torre; G. Parlato","Stellenbosch University; University of Salerno; University of Molise","2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2019","","","1150","1153","Swarm-based verification methods split a verification problem into a large number of independent simpler tasks and so exploit the availability of large numbers of cores to speed up verification. Lazy-CSeq is a BMC-based bug-finding tool for C programs using POSIX threads that is based on sequentialization. Here we present the tool VeriSmart 2.0, which extends Lazy-CSeq with a swarm-based bug-finding method. The key idea of this approach is to constrain the interleaving such that context switches can only happen within selected tiles (more specifically, contiguous code segments within the individual threads). This under-approximates the program's behaviours, with the number and size of tiles as additional parameters, which allows us to vary the complexity of the tasks. Overall, this significantly improves peak memory consumption and (wall-clock) analysis time.","","","10.1109/ASE.2019.00124","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952527","program analysis;verification;concurrency;sequentialization;swarm verification","","","","","","19","","","","","IEEE","IEEE Conferences"
"Automated Trainability Evaluation for Smart Software Functions","I. Gerostathopoulos; S. Kugele; C. Segler; T. Bures; A. Knoll","Technical University of Munich; Technical University of Munich; BMW Group Research; Charles University in Prague; Technical University of Munich","2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2019","","","998","1001","More and more software-intensive systems employ machine learning and runtime optimization to improve their functionality by providing advanced features (e. g. personal driving assistants or recommendation engines). Such systems incorporate a number of smart software functions (SSFs) which gradually learn and adapt to the users' preferences. A key property of SSFs is their ability to learn based on data resulting from the interaction with the user (implicit and explicit feedback)-which we call trainability. Newly developed and enhanced features in a SSF must be evaluated based on their effect on the trainability of the system. Despite recent approaches for continuous deployment of machine learning systems, trainability evaluation is not yet part of continuous integration and deployment (CID) pipelines. In this paper, we describe the different facets of trainability for the development of SSFs. We also present our approach for automated trainability evaluation within an automotive CID framework which proposes to use automated quality gates for the continuous evaluation of machine learning models. The results from our indicative evaluation based on real data from eight BMW cars highlight the importance of continuous and rigorous trainability evaluation in the development of SSFs.","","","10.1109/ASE.2019.00096","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952173","trainability;smart software functions;continuous deployment","","","","","","10","","","","","IEEE","IEEE Conferences"
"VisFuzz: Understanding and Intervening Fuzzing with Interactive Visualization","C. Zhou; M. Wang; J. Liang; Z. Liu; C. Sun; Y. Jiang","Tsinghua University; Tsinghua University; Tsinghua University; Nanjing University of Aeronautics and Astronautics; Waterloo University; Tsinghua University","2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2019","","","1078","1081","Fuzzing is widely used for vulnerability detection. One of the challenges for an efficient fuzzing is covering code guarded by constraints such as the magic number and nested conditions. Recently, academia has partially addressed the challenge via whitebox methods. However, high-level constraints such as array sorts, virtual function invocations, and tree set queries are yet to be handled. To meet this end, we present VisFuzz, an interactive tool for better understanding and intervening fuzzing process via real-time visualization. It extracts call graph and control flow graph from source code, maps each function and basic block to the line of source code and tracks real-time execution statistics with detail constraint contexts. With VisFuzz, test engineers first locate blocking constraints and then learn its semantic context, which helps to craft targeted inputs or update test drivers. Preliminary evaluations are conducted on four real-world programs in Google fuzzer-test-suite. Given additional 15 minutes to understand and intervene the state of fuzzing, the intervened fuzzing outperform the original pure AFL fuzzing, and the path coverage improvements range from 10.84% to 150.58%, equally fuzzed by for 12 hours.","","","10.1109/ASE.2019.00106","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952352","fuzz testing;software testing;visualization","","","","","","14","","","","","IEEE","IEEE Conferences"
"Systematically Covering Input Structure","N. Havrikov; A. Zeller","CISPA Helmholtz Institute for Information Security; CISPA Helmholtz Institute for Information Security","2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2019","","","189","199","Grammar-based testing uses a given grammar to produce syntactically valid inputs. To cover program features, it is necessary to also cover input features—say, all URL variants for a URL parser. Our k-path algorithm for grammar production systematically covers syntactic elements as well as their combinations. In our evaluation, we show that this results in a significantly higher code coverage than state of the art.","","","10.1109/ASE.2019.00027","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952419","grammar based;fuzz testing","","","","","","52","","","","","IEEE","IEEE Conferences"
"Test Migration Between Mobile Apps with Similar Functionality","F. Behrang; A. Orso","Georgia Institute of Technology; Georgia Institute of Technology","2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2019","","","54","65","The use of mobile apps is increasingly widespread, and much effort is put into testing these apps to make sure they behave as intended. To reduce this effort, and thus the overall cost of mobile app testing, we propose APPTESTMIGRATOR, a technique for migrating test cases between apps in the same category (e.g., banking apps). The intuition behind APPTESTMIGRATOR is that many apps share similarities in their functionality, and these similarities often result in conceptually similar user interfaces (through which that functionality is accessed). APPTESTMIGRATOR leverages these commonalities between user interfaces to migrate existing tests written for an app to another similar app. Specifically, given (1) a test case for an app (source app) and (2) a second app (target app), APPTESTMIGRATOR attempts to automatically transform the sequence of events and oracles in the test for the source app to events and oracles for the target app. We implemented APPTESTMIGRATOR for Android mobile apps and evaluated it on a set of randomly selected apps from the Google Play Store in four different categories. Our initial results are promising, support our intuition that test migration is possible, and motivate further research in this direction.","","","10.1109/ASE.2019.00016","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952387","Test migration, GUI testing, mobile apps","","","","","1","34","","","","","IEEE","IEEE Conferences"
"Coverage-Guided Fuzzing for Feedforward Neural Networks","X. Xie; H. Chen; Y. Li; L. Ma; Y. Liu; J. Zhao","Nanyang Technological University; Nanyang Technological University; Nanyang Technological University; Kyushu University; Nanyang Technological University; Kyushu University","2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2019","","","1162","1165","Deep neural network (DNN) has been widely applied to safety-critical scenarios such as autonomous vehicle, security surveillance, and cyber-physical control systems. Yet, the incorrect behaviors of DNNs can lead to severe accidents and tremendous losses due to hidden defects. In this paper, we present DeepHunter, a general-purpose fuzzing framework for detecting defects of DNNs. DeepHunter is inspired by traditional grey-box fuzzing and aims to increase the overall test coverage by applying adaptive heuristics according to runtime feedback. Specifically, DeepHunter provides a series of seed selection strategies, metamorphic mutation strategies, and testing criteria customized to DNN testing; all these components support multiple built-in configurations which are easy to extend. We evaluated DeepHunter on two popular datasets and the results demonstrate the effectiveness of DeepHunter in achieving coverage increase and detecting real defects. A video demonstration which showcases the main features of DeepHunter can be found at https://youtu.be/s5DfLErcgrc.","","","10.1109/ASE.2019.00127","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952279","Coverage guided testing;deep learning testing;deep neural network","","","","","","15","","","","","IEEE","IEEE Conferences"
"A Study of Oracle Approximations in Testing Deep Learning Libraries","M. Nejadgholi; J. Yang","Concordia University; Concordia University","2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2019","","","785","796","Due to the increasing popularity of deep learning (DL) applications, testing DL libraries is becoming more and more important. Different from testing general software, for which output is often asserted definitely (e.g., an output is compared with an oracle for equality), testing deep learning libraries often requires to perform oracle approximations, i.e., the output is allowed to be within a restricted range of the oracle. However, oracle approximation practices have not been studied in prior empirical work that focuses on traditional testing practices. The prevalence, common practices, maintenance and evolution challenges of oracle approximations remain unknown in literature. In this work, we study oracle approximation assertions implemented to test four popular DL libraries. Our study shows that there exists a non-negligible portion of assertions that leverage oracle approximation in the test cases of DL libraries. Also, we identify the common sources of oracles on which oracle approximations are being performed through a comprehensive manual study. Moreover, we find that developers frequently modify code related to oracle approximations, i.e., using a different approximation API, modifying the oracle or the output from the code under test, and using a different approximation threshold. Last, we performed an in-depth study to understand the reasons behind the evolution of oracle approximation assertions. Our findings reveal important maintenance challenges that developers may face when maintaining oracle approximation practices as code evolves in DL libraries.","","","10.1109/ASE.2019.00078","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952211","Software Quality;Software Testing;Testing Deep Learning Libraries;Test Oracle","","","","","","28","","","","","IEEE","IEEE Conferences"
"Automating CUDA Synchronization via Program Transformation","M. Wu; L. Zhang; C. Liu; S. H. Tan; Y. Zhang","Southern University of Science and Technology; University of Texas at Dallas; University of Texas at Dallas; Southern University of Science and Technology; Southern University of Science and Technology","2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2019","","","748","759","While CUDA has been the most popular parallel computing platform and programming model for general purpose GPU computing, CUDA synchronization undergoes significant challenges for GPU programmers due to its intricate parallel computing mechanism and coding practices. In this paper, we propose AuCS, the first general framework to automate synchronization for CUDA kernel functions. AuCS transforms the original LLVM-level CUDA program control flow graph in a semantic-preserving manner for exploring the possible barrier function locations. Accordingly, AuCS develops mechanisms to correctly place barrier functions for automating synchronization in multiple erroneous (challenging-to-be-detected) synchronization scenarios, including data race, barrier divergence, and redundant barrier functions. To evaluate the effectiveness and efficiency of AuCS, we conduct an extensive set of experiments and the results demonstrate that AuCS can automate 20 out of 24 erroneous synchronization scenarios.","","","10.1109/ASE.2019.00075","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952529","CUDA;program repair;synchronization automation;program transformation","","","","","","60","","","","","IEEE","IEEE Conferences"
"History-Guided Configuration Diversification for Compiler Test-Program Generation","J. Chen; G. Wang; D. Hao; Y. Xiong; H. Zhang; L. Zhang","Tianjin University; Peking University; Peking University; Peking University; The University of Newcastle; Peking University","2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2019","","","305","316","Compilers, like other software systems, contain bugs, and compiler testing is the most widely-used way to assure compiler quality. A critical task of compiler testing is to generate test programs that could effectively and efficiently discover bugs. Though we can configure test generators such as Csmith to control the features of the generated programs, it is not clear what test configuration is effective. In particular, an effective test configuration needs to generate test programs that are bug-revealing, i.e., likely to trigger bugs, and diverse, i.e., able to discover different types of bugs. It is not easy to satisfy both properties. In this paper, we propose a novel test-program generation approach, called HiCOND, which utilizes historical data for configuration diversification to solve this challenge. HiCOND first infers the range for each option in a test configuration where bug-revealing test programs are more likely to be generated based on historical data. Then, it identifies a set of test configurations that can lead to diverse test programs through a search method (particle swarm optimization). Finally, based on the set of test configurations for compiler testing, HiCOND generates test programs, which are likely to be bug-revealing and diverse. We have conducted experiments on two popular compilers GCC and LLVM, and the results confirm the effectiveness of our approach. For example, HiCOND detects 75.00%, 133.33%, and 145.00% more bugs than the three existing approaches, respectively. Moreover, HiCOND has been successfully applied to actual compiler testing in a global IT company and detected 11 bugs during the practical evaluation.","","","10.1109/ASE.2019.00037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952321","Compiler Testing;Configuration;History;Search","","","","","1","58","","","","","IEEE","IEEE Conferences"
"An Industrial Experience Report on Performance-Aware Refactoring on a Database-Centric Web Application","B. Chen; Z. M. Jiang; P. Matos; M. Lacaria","York University; York University; Copywell Inc.; Copywell Inc.","2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2019","","","653","664","Modern web applications rely heavily on databases to query and update information. To ease the development efforts, Object Relational Mapping (ORM) frameworks provide an abstraction for developers to manage databases by writing in the same Object-Oriented programming languages. Prior studies have shown that there are various types of performance issues caused by inefficient accesses to databases via different ORM frameworks (e.g., Hibernate and ActiveRecord). However, it is not clear whether the reported performance anti-patterns (common performance issues) can be generalizable across various frameworks. In particular, there is no study focusing on detecting performance issues for applications written in PHP, which is the choice of programming languages for the majority (79%) of web applications. In this experience paper, we detail our process on conducting performance-aware refactoring of an industrial web application written in Laravel, the most popular web framework in PHP. We have derived a complete catalog of 17 performance anti-patterns based on prior research and our experimentation. We have found that some of the reported anti-patterns and refactoring techniques are framework or programming language specific, whereas others are general. The performance impact of the anti-pattern instances are highly dependent on the actual usage context (workload and database settings). When communicating the performance differences before and after refactoring, the results of the complex statistical analysis may be sometimes confusing. Instead, developers usually prefer more intuitive measures like percentage improvement. Experiments show that our refactoring techniques can reduce the response time up to 93.0% and 93.4% for the industrial and the open source application under various scenarios.","","","10.1109/ASE.2019.00066","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952177","performance anti patterns;ORM framework;database centric applications;refactoring;experience report","","","","","","27","","","","","IEEE","IEEE Conferences"
"Efficient Transaction-Based Deterministic Replay for Multi-threaded Programs","E. Pobee; X. Mei; W. K. Chan","City University of Hong Kong; City University of Hong Kong; City University of Hong Kong","2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2019","","","760","771","Existing deterministic replay techniques propose strategies which attempt to reduce record log sizes and achieve successful replay. However, these techniques still generate large logs and achieve replay only under certain conditions. We propose a solution based on the division of the sequence of events of each thread into sequential blocks called transactions. Our insight is that there are usually few to no atomicity violations among transactions reported during a program execution. We present TPLAY, a novel deterministic replay technique which records thread access interleavings on shared memory locations at the transactional level. TPLAY also generates an artificial pair of interleavings when an atomicity violation is reported on a transaction. We present an experiment using the Splash2x extension of the PARSEC benchmark suite. Experimental results indicate that TPLAY experiences a 13-fold improvement in record log sizes and achieves a higher replay probability in comparison to existing work.","","","10.1109/ASE.2019.00076","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952181","Concurrency;Deterministic Replay;Transactions;Multi-threading","","","","","","31","","","","","IEEE","IEEE Conferences"
"Debreach: Mitigating Compression Side Channels via Static Analysis and Transformation","B. Paulsen; C. Sung; P. A.H. Peterson; C. Wang","University of Southern California; University of Southern California; University of Minnesota, Duluth; University of Southern California","2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2019","","","899","911","Compression is an emerging source of exploitable side-channel leakage that threatens data security, particularly in web applications where compression is indispensable for performance reasons. Current approaches to mitigating compression side channels have drawbacks in that they either degrade compression ratio drastically or require too much effort from developers to be widely adopted. To bridge the gap, we develop Debreach, a static analysis and program transformation based approach to mitigating compression side channels. Debreach consists of two steps. First, it uses taint analysis to soundly identify flows of sensitive data in the program and uses code instrumentation to annotate data before feeding them to the compressor. Second, it enhances the compressor to exploit the freedom to not compress of standard compression protocols, thus removing the dependency between sensitive data and the size of the compressor's output. Since Debreach automatically instruments applications and does not change the compression protocols, it has the advantage of being non-disruptive and compatible with existing systems. We have evaluated Debreach on a set of web server applications written in PHP. Our experiments show that, while ensuring leakage-freedom, Debreach can achieve significantly higher compression performance than state-of-the-art approaches.","","","10.1109/ASE.2019.00088","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952360","Program Synthesis and Transformations;Automated Defect Repair;Data Privacy;Side Channel","","","","","","69","","","","","IEEE","IEEE Conferences"
"Regexes are Hard: Decision-Making, Difficulties, and Risks in Programming Regular Expressions","L. G. Michael; J. Donohue; J. C. Davis; D. Lee; F. Servant","Virginia Tech; University of Bradford; Virginia Tech; Stony Brook University & Virginia Tech; Virginia Tech","2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2019","","","415","426","Regular expressions (regexes) are a powerful mechanism for solving string-matching problems. They are supported by all modern programming languages, and have been estimated to appear in more than a third of Python and JavaScript projects. Yet existing studies have focused mostly on one aspect of regex programming: readability. We know little about how developers perceive and program regexes, nor the difficulties that they face. In this paper, we provide the first study of the regex development cycle, with a focus on (1) how developers make decisions throughout the process, (2) what difficulties they face, and (3) how aware they are about serious risks involved in programming regexes. We took a mixed-methods approach, surveying 279 professional developers from a diversity of backgrounds (including top tech firms) for a high-level perspective, and interviewing 17 developers to learn the details about the difficulties that they face and the solutions that they prefer. In brief, regexes are hard. Not only are they hard to read, our participants said that they are hard to search for, hard to validate, and hard to document. They are also hard to master: the majority of our studied developers were unaware of critical security risks that can occur when using regexes, and those who knew of the risks did not deal with them in effective manners. Our findings provide multiple implications for future work, including semantic regex search engines for regex reuse and improved input generators for regex validation.","","","10.1109/ASE.2019.00047","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952499","regular expressions, developer process, qualitative research","","","","","1","60","","","","","IEEE","IEEE Conferences"
